T (s),SCT-EastWest-19Sep2017-Damping5percent-Sa(g),SCT-NorthSouth-19Sep2017-Damping5percent-Sa(g)
0.05,0.10435474,0.092632518
0.06,0.108701325,0.09363476
0.07,0.111565749,0.09742314
0.08,0.11167788,0.104826707
0.09,0.111330275,0.105038736
0.10,0.115605505,0.109839959
0.11,0.125996942,0.118688073
0.12,0.133876656,0.133093782
0.13,0.122155963,0.133760449
0.14,0.134633028,0.1692579
0.15,0.126382263,0.164472987
0.16,0.15138634,0.177134557
0.17,0.186558614,0.185584098
0.18,0.161653415,0.199937819
0.19,0.13688685,0.187779817
0.20,0.129778797,0.156686035
0.21,0.133904179,0.143253823
0.22,0.153397554,0.181426096
0.23,0.173723751,0.19279001
0.24,0.175345566,0.179868502
0.25,0.164658512,0.173585117
0.26,0.160617737,0.178884811
0.27,0.160609582,0.17548318
0.28,0.164343527,0.193103976
0.29,0.15643527,0.197452599
0.30,0.158091743,0.195778797
0.31,0.16820897,0.193313965
0.32,0.165037717,0.19137105
0.33,0.170654434,0.184037717
0.34,0.177088685,0.174124363
0.35,0.174410805,0.166880734
0.36,0.166816514,0.155320082
0.37,0.17720897,0.144310907
0.38,0.202314985,0.142041794
0.39,0.214539246,0.147396534
0.40,0.214442406,0.154592253
0.41,0.209447503,0.158332314
0.42,0.200583078,0.154569827
0.43,0.188458716,0.155606524
0.44,0.179954128,0.156024465
0.45,0.17756371,0.157813456
0.46,0.180108053,0.157464832
0.47,0.186401631,0.155283384
0.48,0.194260958,0.151333333
0.49,0.203186544,0.142512742
0.50,0.212717635,0.132378186
0.51,0.225,0.140443425
0.52,0.240881753,0.152643221
0.53,0.254958206,0.159149847
0.54,0.262939857,0.156393476
0.55,0.263956167,0.150696228
0.56,0.261445464,0.146521916
0.57,0.258215087,0.145256881
0.58,0.253432212,0.148303772
0.59,0.245763507,0.148331295
0.60,0.235579001,0.144132518
0.61,0.224658512,0.140716616
0.62,0.214249745,0.139619776
0.63,0.204114169,0.134074414
0.64,0.193336391,0.137010194
0.65,0.188364934,0.137120285
0.66,0.182390418,0.136830785
0.67,0.176582059,0.134818552
0.67,0.171833843,0.132618756
0.68,0.167139653,0.131573904
0.69,0.161961264,0.132228338
0.70,0.158005097,0.13438736
0.71,0.158187564,0.137023445
0.72,0.157896024,0.139591233
0.73,0.157173293,0.141856269
0.74,0.15553211,0.146415902
0.75,0.156318043,0.150416922
0.76,0.160954128,0.152740061
0.77,0.16785423,0.152793068
0.78,0.175827727,0.157422018
0.79,0.183962283,0.163507645
0.80,0.190847095,0.167281346
0.81,0.194772681,0.168656473
0.82,0.194198777,0.167863405
0.83,0.188373089,0.165297655
0.84,0.178131498,0.161614679
0.85,0.179151886,0.157637105
0.86,0.17967686,0.154478084
0.87,0.178638124,0.152722732
0.88,0.175723751,0.152715596
0.89,0.173730887,0.154393476
0.90,0.171093782,0.157439348
0.91,0.169565749,0.161390418
0.92,0.170653415,0.165497452
0.93,0.170055046,0.169360856
0.94,0.167800204,0.172374108
0.95,0.164125382,0.174429154
0.96,0.15950051,0.17537105
0.97,0.163635066,0.175260958
0.98,0.170584098,0.174311927
0.99,0.175764526,0.172751274
1.00,0.178427115,0.170768603
1.01,0.17843629,0.172874618
1.02,0.17850051,0.178929664
1.03,0.177346585,0.183812436
1.04,0.183993884,0.187831804
1.05,0.190771662,0.191042813
1.06,0.195930683,0.193812436
1.07,0.200229358,0.196237513
1.08,0.204043833,0.198400612
1.09,0.207428135,0.200430173
1.10,0.210172273,0.202159021
1.11,0.21217737,0.203400612
1.12,0.220120285,0.203955148
1.13,0.2267737,0.203696228
1.14,0.231687054,0.202259939
1.15,0.23449949,0.19970948
1.16,0.234910296,0.199933741
1.17,0.233178389,0.203335372
1.18,0.229960245,0.205012232
1.19,0.231734964,0.204905199
1.20,0.233188583,0.203114169
1.21,0.234616718,0.199939857
1.22,0.236752294,0.195547401
1.23,0.239706422,0.190372069
1.24,0.242853211,0.184756371
1.25,0.245614679,0.179127421
1.26,0.247258919,0.173961264
1.27,0.247569827,0.16950051
1.28,0.246840979,0.168154944
1.29,0.245929664,0.169647299
1.30,0.245810398,0.171155963
1.31,0.247575943,0.173337411
1.32,0.251954128,0.176731906
1.33,0.259026504,0.181737003
1.34,0.268186544,0.188294597
1.35,0.278457696,0.196140673
1.36,0.288539246,0.204910296
1.37,0.297447503,0.214317023
1.38,0.30440265,0.22403262
1.39,0.308959225,0.233668705
1.40,0.311059123,0.242812436
1.41,0.311015291,0.25133843
1.42,0.309422018,0.260176351
1.43,0.307039755,0.268844037
1.44,0.304690112,0.276920489
1.45,0.303391437,0.284514781
1.46,0.303860347,0.291634047
1.47,0.306751274,0.298056065
1.48,0.321396534,0.303347604
1.49,0.340655454,0.306971458
1.50,0.362959225,0.308429154
1.51,0.385964322,0.30716208
1.52,0.408793068,0.303189602
1.53,0.430089704,0.296481142
1.54,0.448817533,0.287470948
1.55,0.464497452,0.276958206
1.56,0.48675841,0.286550459
1.57,0.505175331,0.29588787
1.58,0.518737003,0.304651376
1.59,0.52730683,0.31285525
1.60,0.535932722,0.320459735
1.61,0.549076453,0.327458716
1.62,0.561644241,0.33388787
1.63,0.570702345,0.339839959
1.64,0.576896024,0.345433231
1.65,0.580285423,0.350614679
1.66,0.580833843,0.355482161
1.67,0.57848318,0.360071356
1.68,0.572668705,0.364264016
1.69,0.565017329,0.368058104
1.70,0.565333333,0.371426096
1.71,0.568888889,0.374212029
1.72,0.572530071,0.376344546
1.73,0.575926606,0.377777778
1.74,0.579074414,0.378573904
1.75,0.582135576,0.378586137
1.76,0.58712844,0.37787054
1.77,0.590800204,0.3765158
1.78,0.593077472,0.374447503
1.79,0.593517839,0.371809378
1.80,0.591885831,0.368470948
1.81,0.588249745,0.364598369
1.82,0.582448522,0.360165138
1.83,0.574479103,0.355217125
1.84,0.566700306,0.349848114
1.85,0.559695209,0.344201835
1.86,0.550997961,0.338357798
1.87,0.54087054,0.332381244
1.88,0.529462793,0.326363914
1.89,0.516810398,0.32038736
1.90,0.503232416,0.314549439
1.91,0.48877472,0.308898063
1.91,0.473583078,0.304617737
1.92,0.461800204,0.300759429
1.93,0.449498471,0.296948012
1.94,0.436648318,0.293265036
1.95,0.423486239,0.289622834
1.96,0.4099684,0.286102956
1.97,0.39614577,0.282639144
1.98,0.382087666,0.279233435
1.99,0.367922528,0.275824669
2.00,0.353627931,0.272342508
2.01,0.344227319,0.268795107
2.02,0.337431193,0.265059123
2.03,0.33056371,0.261101937
2.04,0.323477064,0.256945973
2.05,0.316068298,0.252539246
2.06,0.30832314,0.247863405
2.07,0.300243629,0.242928644
2.08,0.292793068,0.237751274
2.09,0.285592253,0.232392457
2.10,0.278104995,0.226847095
2.11,0.270385321,0.221138634
2.12,0.262481142,0.215301733
2.13,0.25448318,0.209370031
2.14,0.246805301,0.203380224
2.15,0.241971458,0.197362895
2.16,0.237153925,0.191347604
2.17,0.234603466,0.185359837
2.18,0.231911315,0.17941998
2.19,0.229089704,0.17354842
2.20,0.226151886,0.167759429
2.21,0.223111111,0.162107034
2.22,0.219980632,0.156560652
2.23,0.216775739,0.151126402
2.24,0.215672783,0.14585423
2.25,0.215755352,0.140719674
2.26,0.214918451,0.135743119
2.27,0.213250765,0.130938838
2.28,0.21072579,0.126318043
2.29,0.207429154,0.121877676
2.30,0.204824669,0.117673802
2.31,0.205173293,0.113690112
2.32,0.204788991,0.110534149
2.33,0.203625892,0.10861264
2.34,0.201685015,0.106503568
2.35,0.199003058,0.104265036
2.36,0.195643221,0.102472987
2.37,0.192276249,0.101008767
2.38,0.190595311,0.100617941
2.39,0.188326198,0.100137819
2.40,0.185509684,0.09959633
2.41,0.182181448,0.098951478
2.42,0.178367992,0.098230479
2.43,0.174092762,0.097412538
2.44,0.169379205,0.096507339
2.45,0.164281346,0.09551998
2.46,0.158826707,0.094438124
2.47,0.153768603,0.093296738
2.48,0.150573904,0.092070336
2.49,0.14741998,0.090786137
2.50,0.145749235,0.089447299
2.51,0.143688073,0.088360245
2.52,0.141207951,0.08854261
2.53,0.138294597,0.088668298
2.54,0.136240571,0.088742712
2.55,0.134299694,0.088738124
2.56,0.132331295,0.088663099
2.57,0.13030581,0.088493374
2.58,0.1282263,0.088247808
2.59,0.12612844,0.087911009
2.60,0.123986748,0.08748104
2.61,0.121801223,0.086974108
2.62,0.119610601,0.086384811
2.63,0.117379205,0.085712029
2.64,0.115124363,0.084964016
2.65,0.112857288,0.08415474
2.66,0.110554536,0.083274516
2.67,0.108260958,0.082328644
2.68,0.10593578,0.081337615
2.69,0.10361366,0.080292864
2.70,0.101275841,0.079674924
2.71,0.098940367,0.079349235
2.72,0.09659735,0.078976453
2.73,0.094680938,0.078558512
2.74,0.094135984,0.078103976
2.75,0.093462181,0.077603058
2.76,0.092660041,0.077075331
2.77,0.091739042,0.076500815
2.78,0.09072895,0.075904383
2.79,0.089617227,0.075265545
2.80,0.088412334,0.074602141
2.81,0.08713894,0.073903466
2.82,0.085793578,0.073178287
2.83,0.08437686,0.072423751
2.84,0.082921203,0.0716421
2.85,0.081405708,0.070836086
2.86,0.079860143,0.070003568
2.87,0.078273598,0.069150866
2.88,0.076669929,0.068274006
2.89,0.07503629,0.067379918
2.90,0.07340367,0.066466259
2.91,0.071754842,0.065536697
2.92,0.070107645,0.064674312
2.93,0.068469419,0.064195923
2.94,0.067020082,0.063691845
2.95,0.066359939,0.063161162
2.96,0.065991437,0.06260581
2.97,0.065626096,0.06203629
2.98,0.065259939,0.061452497
2.99,0.064893272,0.060849847
3.00,0.06453894,0.060230377
3.01,0.064184506,0.059596534
3.02,0.06382946,0.058962691
3.03,0.063479205,0.058318756
3.04,0.063135678,0.057666361
3.05,0.062791233,0.057007339
3.06,0.062446891,0.056343935
3.07,0.06211264,0.055687258
3.08,0.061777064,0.055029969
3.09,0.061439857,0.054372783
3.10,0.061112946,0.053717227
3.11,0.060784098,0.053064628
3.12,0.060454128,0.052417737
3.13,0.06013262,0.051782161
3.14,0.059808461,0.051152396
3.14,0.059484404,0.050529256
3.15,0.059166361,0.049913456
3.16,0.058845056,0.049305708
3.17,0.058524363,0.048706422
3.18,0.058207849,0.048117533
3.19,0.057887564,0.047541692
3.20,0.057567584,0.046975127
3.21,0.05725107,0.046418043
3.22,0.056930275,0.045870744
3.23,0.05660897,0.045333333
3.24,0.056290724,0.044806014
3.25,0.055967788,0.044288787
3.26,0.055643527,0.043781753
3.27,0.055322018,0.043285219
3.28,0.054995209,0.042801835
3.29,0.054666565,0.042328644
3.30,0.054340061,0.041865749
3.31,0.054007849,0.041413048
3.32,0.05367472,0.040970642
3.33,0.053341692,0.040538634
3.34,0.053002446,0.040117023
3.35,0.052665647,0.03970581
3.36,0.052324567,0.039304995
3.37,0.051980734,0.038914577
3.38,0.051637309,0.038534557
3.39,0.05128787,0.038164934
3.40,0.050941488,0.037805607
3.41,0.050588277,0.037456473
3.42,0.050238532,0.037117737
3.43,0.049882161,0.036790214
3.44,0.049528542,0.036472579
3.45,0.04916789,0.036164628
3.46,0.048810194,0.035866157
3.47,0.04844526,0.03557686
3.48,0.048467176,0.035296636
3.49,0.048709888,0.035025076
3.50,0.048930785,0.034761774
3.51,0.049123038,0.034506626
3.52,0.049281855,0.034259021
3.53,0.049418451,0.034018654
3.54,0.049519572,0.033785117
3.55,0.049589501,0.0335579
3.56,0.049629562,0.033336595
3.57,0.049631193,0.033120693
3.58,0.049607747,0.032909684
3.59,0.049544343,0.032703058
3.60,0.049451682,0.032501325
3.61,0.04932263,0.032303976
3.62,0.049159939,0.032109582
3.63,0.048965036,0.031917533
3.64,0.048733129,0.031727421
3.65,0.048472885,0.031538736
3.66,0.048173394,0.03135107
3.67,0.047849032,0.031163812
3.68,0.047485423,0.030976656
3.69,0.047097248,0.030789195
3.70,0.046672681,0.030601223
3.71,0.04622212,0.030414577
3.72,0.045739348,0.030226504
3.73,0.04522895,0.030036697
3.74,0.044691131,0.029844852
3.75,0.044133129,0.029650765
3.76,0.044525688,0.029454128
3.77,0.04489633,0.029254842
3.78,0.045241081,0.029053313
3.79,0.045561468,0.028878593
3.80,0.045862181,0.028846891
3.81,0.046135372,0.028817431
3.82,0.046382569,0.02879001
3.83,0.04660999,0.02876422
3.84,0.046808869,0.028739857
3.85,0.046983282,0.028716412
3.86,0.047135474,0.028693782
3.87,0.04725841,0.028671662
3.88,0.047361162,0.028649745
3.89,0.047437309,0.028627829
3.90,0.047487258,0.028605607
3.91,0.04751682,0.028583078
3.92,0.047517431,0.028559837
3.93,0.047499185,0.02853578
3.94,0.047454027,0.028510805
3.95,0.04738634,0.028484709
3.96,0.047296534,0.028457492
3.97,0.047180326,0.028428848
3.98,0.047046993,0.028398879
3.99,0.04688634,0.02836738
4.00,0.046708155,0.028334353
4.01,0.046506116,0.028299796
4.02,0.046283078,0.028264322
4.03,0.046041284,0.028228033
4.04,0.045774618,0.028190214
4.05,0.045494903,0.028150765
4.06,0.045191335,0.028109684
4.07,0.044870234,0.028066972
4.08,0.044531804,0.028022732
4.09,0.04417156,0.027977064
4.10,0.04379949,0.027929867
4.11,0.043407849,0.027881244
4.12,0.042998063,0.027831193
4.13,0.042577574,0.027779918
4.14,0.042138736,0.027727319
4.15,0.041684913,0.027673598
4.16,0.041221101,0.027618654
4.17,0.040741284,0.027562691
4.18,0.040247503,0.027505708
4.19,0.039746789,0.027449235
4.20,0.03923262,0.027392049
4.21,0.038705607,0.027334047
4.22,0.038172885,0.027275331
4.23,0.037776555,0.0272158
4.24,0.037647503,0.027155556
4.25,0.037492762,0.027094801
4.26,0.037320489,0.027033333
4.27,0.037122936,0.026971356
4.28,0.036905708,0.026908767
4.29,0.036669623,0.02684577
4.30,0.036410805,0.026782263
4.31,0.036136697,0.026718247
4.32,0.035844241,0.026653823
4.33,0.035532008,0.026589195
4.34,0.035207645,0.026525586
4.35,0.034866871,0.02646157
4.36,0.03452895,0.026397044
4.37,0.034296738,0.026332212
4.38,0.034057594,0.026266871
4.38,0.033810499,0.026201019
4.39,0.033555861,0.02613476
4.40,0.033298981,0.026067992
4.41,0.033035678,0.026000714
4.42,0.032765749,0.025932926
4.43,0.032489399,0.025864628
4.44,0.032210805,0.025795719
4.45,0.031927829,0.025726198
4.46,0.031639348,0.025657696
4.47,0.031345668,0.025588481
4.48,0.03104791,0.025518552
4.49,0.030749541,0.02544791
4.50,0.030446789,0.025376453
4.51,0.030140061,0.025304179
4.52,0.029829562,0.025231091
4.53,0.029515902,0.025157085
4.54,0.029202854,0.025082059
4.55,0.028886952,0.025006116
4.56,0.028568298,0.024929256
4.57,0.028247197,0.024851988
4.58,0.027923955,0.02477472
4.59,0.027599592,0.02469633
4.60,0.027276147,0.024616718
4.61,0.026951172,0.024536086
4.62,0.026624975,0.024454128
4.63,0.026297655,0.02437105
4.64,0.025969521,0.024286748
4.65,0.025640775,0.024201223
4.66,0.02531264,0.024114475
4.67,0.025104179,0.024026504
4.68,0.024903976,0.023938838
4.69,0.024704383,0.023849949
4.70,0.02450683,0.023759633
4.71,0.024309786,0.023668094
4.72,0.02411315,0.023575229
4.73,0.023917023,0.023481142
4.74,0.023721407,0.023385627
4.75,0.023526402,0.023288889
4.76,0.023333537,0.023190928
4.77,0.023141488,0.023092253
4.78,0.022949949,0.022993374
4.79,0.022759123,0.02289317
4.80,0.022569011,0.022791743
4.81,0.022379613,0.022689093
4.82,0.022191437,0.022585321
4.83,0.022004995,0.022480326
4.84,0.021819368,0.02237421
4.85,0.021634353,0.022266972
4.86,0.021450255,0.022158716
4.87,0.021266871,0.022050663
4.88,0.021084302,0.021941794
4.89,0.02090316,0.021831804
4.90,0.020723547,0.021720999
4.91,0.020544852,0.021609174
4.92,0.020366972,0.021496432
4.93,0.020189908,0.021382875
4.94,0.02001366,0.021268502
4.95,0.019838328,0.021153313
4.96,0.019663914,0.021037309
4.97,0.019491335,0.020922018
4.98,0.019319776,0.020806014
4.99,0.019270744,0.020689399
5.00,0.019224873,0.020572171
